[IPTV],#genre#
CCTV-9,http://ott.js.chinamobile.com/PLTV/3/224/3221227704/index.m3u8
CCTV-9,http://ott.js.chinamobile.com/PLTV/3/224/3221225532/index.m3u8
CCTV-10,http://ott.js.chinamobile.com/PLTV/3/224/3221225550/index.m3u8
CCTV-10,http://ott.js.chinamobile.com/PLTV/3/224/3221227317/index.m3u8
CCTV-11,http://ott.js.chinamobile.com/PLTV/3/224/3221227720/index.m3u8
CCTV-11,http://ott.js.chinamobile.com/PLTV/3/224/3221227524/index.m3u8
CCTV-12,http://ott.js.chinamobile.com/PLTV/3/224/3221227637/index.m3u8
CCTV-13,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226316/1.m3u8
CCTV-13,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000013/index.m3u8
CCTV-14,http://ott.js.chinamobile.com/PLTV/3/224/3221227693/index.m3u8
CCTV-14,http://ott.js.chinamobile.com/PLTV/3/224/3221227656/index.m3u8
CCTV-14,http://ott.js.chinamobile.com/PLTV/3/224/3221227201/index.m3u8
CCTV-15,http://ott.js.chinamobile.com/PLTV/3/224/3221227723/index.m3u8
CCTV-15,http://ott.js.chinamobile.com/PLTV/3/224/3221227538/index.m3u8
CCTV-17,http://ott.js.chinamobile.com/PLTV/3/224/3221227726/index.m3u8
CCTV-17,http://ott.js.chinamobile.com/PLTV/3/224/3221227589/index.m3u8
CCTV-17,http://ott.js.chinamobile.com/PLTV/3/224/3221227592/index.m3u8
CCTV-17,http://ott.js.chinamobile.com/PLTV/3/224/3221227578/index.m3u8
山东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227517/index.m3u8
山东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227258/index.m3u8
山东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227671/index.m3u8
山东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227697/index.m3u8
山东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227621/index.m3u8
山东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227310/index.m3u8
菏泽-1,http://live.hznet.tv:1935/live/live1/500K/tzwj_video.m3u8
菏泽-1,http://39.137.76.32:8089/00/SNM/CHANNEL00000232/index.m3u8
菏泽-2,http://live.hznet.tv:1935/live/live2/500K/tzwj_video.m3u8
菏泽-2,http://39.137.76.32:8089/00/SNM/CHANNEL00000234/index.m3u8
菏泽-3,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
东南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8
东南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227553/index.m3u8
东方卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227511/index.m3u8
东方卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227208/index.m3u8
东方卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227486/index.m3u8
东方卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227732/index.m3u8
东方卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227688/index.m3u8
东方卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227597/index.m3u8
东方卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227396/index.m3u8
